communityn,detailaddr,area_id,districtna,zone_numbe,buildyear,carparkcou,buildingar,plotratio,pmfee,developer,greeningra,totalhouse,totalbuild,standard_p,specialpri,residentia,longitude,latitude
西上园一区,北京市通州区故城东路西上园一区,11,通州区,110112,2003,300,83733.42,1.22,0.55,北京市通州房地产开发总公司,39,1674,14,54848, ,住宅,116.6721881,39.90421508
西上园二区,北京市通州区故城东路西上园二区,11,通州区,110112,2001,200,38025.78,1.22,0.55,北京市通州房地产开发总公司,40,463,8,52097, ,住宅,116.6735906,39.90203736
卢卡新天地,北京市昌平区立汤路181号卢卡新天地,13,昌平区,110114,2013, ,42000,3.78,2.45,北京世纪上越房地产开发公司,30,476,6,63357,商住房,高档公寓,116.4063729,40.0575518
怡丽南园,北京市海淀区蓝靛厂路怡丽南园,8,海淀区,110108,2001,201,40706.72,1.88,1.6,北京市泰华房地产开发集团有限公司,30,425,6,104478, ,住宅,116.2780601,39.96596211
东货场路40号院,北京市丰台区东货场路40号院,6,丰台区,110106,1995,20, ,1.33,0.5,无,30,60,1,38482,军产房,住宅,116.2900502,39.85232511
惠新北里1号院,北京市朝阳区安苑路惠新北里1号院,5,朝阳区,110105,1982, ,26267.78,3.59,1,北京住总集团有限责任公司,10,222,4,73844, ,住宅,116.415646,39.98246115
永乐里10号院,北京市西城区菜市口大街永乐里10号院,4,西城区,110102,1984, ,9496.07,2.8,0,无,30,114,1,96276, ,住宅,116.3674713,39.87550018
北苑南路40号院,北京市通州区北苑南路40号院,11,通州区,110112,1984, ,2847.6,2,0|0,单位自建, ,60,1,40245, ,住宅,116.6388076,39.89357866
格纳斯,北京市朝阳区新东路格纳斯,5,朝阳区,110105,2006, , ,2.2,9.98,北京泰和基业房地产开发有限责任公司,30,186,1,45774,其他,高档公寓,116.4430692,39.94782847
西上园三区,北京市通州区故城东路西上园三区,11,通州区,110112,2000,260,35845.06,1.22,0.55,北京市通州房地产开发总公司,45,372,8,47363, ,住宅,116.6715908,39.90164044
葛布店北里,北京市通州区新华南路葛布店北里,11,通州区,110112,1985,148,44760.15,1.5,0.5,通州区房地产开发有限公司,30,682,11,48804, ,住宅,116.6531625,39.89240392
名流花园,北京市昌平区北清路名流花园,13,昌平区,110114,1997,1239,524048.17,2.67,1,名流投资有限公司,35,2072,54,32614, ,住宅,116.4245471,40.10017701
